RM name	BHRRC link	ID
ACE Green Recycling		
AllCell Technologies LLC		
Amperex Technology Limited (ATL)	https://www.business-humanrights.org/en/companies/contemporary-amperex-technology-catl/	763897
Apple	https://www.business-humanrights.org/en/companies/apple/	755476
Artisanal producers		
Ascend Elements	https://www.business-humanrights.org/en/companies/ascend/	764900
Automotive Cells Company (ACC)		
AVIC Lithium		
B&M Science and Technology co.	https://www.business-humanrights.org/en/companies/tianjin-bm-science-technology/	913036
BAIC Group	https://www.business-humanrights.org/en/companies/baic-motor-corporation/	765767
BAK Power Battery		
BASF	https://www.business-humanrights.org/en/companies/basf/	755901
Beam Global		
Beijing Easpring Material Technology Co., Ltd.		
Beijing Hainachuan Automotive Parts Co., Ltd. (BHAP)		
Bird Global Inc.		
BMW	https://www.business-humanrights.org/en/companies/bmw/	755904
BMW AG	https://www.business-humanrights.org/en/companies/bmw/	755904
BMW Group	https://www.business-humanrights.org/en/companies/bmw/	755904
BMW Motorrad International	https://www.business-humanrights.org/en/companies/bmw/	755904
Bosch Ltd. (BOSCH)	https://www.business-humanrights.org/en/companies/bosch/	756095
Britishvolt		
BS Battery		
BYD Co. Ltd.	https://www.business-humanrights.org/en/companies/byd/	756034
CATL (Contemporary Amperex Technology Co.)	https://www.business-humanrights.org/en/companies/contemporary-amperex-technology-catl/	763897
Cents Sacs		
Chaowei Power Group Co. Ltd.		
Chemaf	https://www.business-humanrights.org/en/companies/chemaf-part-of-shalina-group/	756480
Chengtun Copper Ressources	https://www.business-humanrights.org/en/companies/chengtun-mining/	910770
Chengtun Global Ressources	https://www.business-humanrights.org/en/companies/chengtun-mining/	910770
China Electronics Technology Group Co. Ltd.		
China Minmetals	https://www.business-humanrights.org/en/companies/china-minmetals/	756351
China Molybdenum Co.	https://www.business-humanrights.org/en/companies/china-molybdenum/	765799
China Molybdenum Co. / Gecamines		
China Nonferrous Mining Corporation Ltd.	https://www.business-humanrights.org/en/companies/china-nonferrous-metal-mining-cnmc/	760582
China Nonferrous Mining Corporation Ltd. (51%) / Gécamines (49%)	https://www.business-humanrights.org/en/companies/china-nonferrous-metal-mining-cnmc/	760582
China Railway Resources Group	https://www.business-humanrights.org/en/companies/china-railway-group-crec-part-of-china-railway-engineering/	764197
Chine/HCL		
Chine/HIT		
Chine/New		
Chine/NST		
CHINE/PIGL		
CITIC Group	https://www.business-humanrights.org/en/companies/china-international-trust-and-investment-citic/	756574
CNGR Advanced Material Co., Ltd.	https://www.business-humanrights.org/en/companies/cngr-advanced-material/	934151
Congo Dongfang Mining (CDM)	https://www.business-humanrights.org/en/companies/congo-dongfang-international-mining-cdm/	927036
Congo Jinjun Cheng (CJC)		
Coslight Technology International Group Co. Ltd.		
Cosmo Chemical Co Ltd		
Daimler AG (Benz)	https://www.business-humanrights.org/en/companies/daimler-ag/	756805
Dangsheng Technology		
Daye Nonferrous Metals		
Divine Land Mining SARL (DLM)		
Dongfeng Motor Corporation	https://www.business-humanrights.org/en/companies/dongfeng-motor/	756774
Electra Battery Materials Corp		
Envision AESC	https://www.business-humanrights.org/en/companies/envision/	764496
Essence Resources Limited		
Eurasian Resources Group (ERG)	https://www.business-humanrights.org/en/companies/eurasian-resources-group-erg/	764415
EVelution Energy		
Evoke Electric Motorcycles (HK) Ltd.		
Farasis Energy		
Ford Motor Company	https://www.business-humanrights.org/en/companies/ford/	757030
Fujian Scud Power Technology Co., Ltd. / 福建飞毛腿动力科技有限公司		
Ganzhou Highpower Technology Co., Ltd.		
Ganzhou Tengyuan Cobalt Industrial Co Ltd		
Geely group	https://www.business-humanrights.org/en/companies/geely/	764877
GEM (Green Eco-manufacture Hi-tech)	https://www.business-humanrights.org/en/companies/gem/	763896
General Motors Co.	https://www.business-humanrights.org/en/companies/general-motors/	757198
Glencore	https://www.business-humanrights.org/en/companies/glencore/	757200
Glencore plc / Gecamines	https://www.business-humanrights.org/en/companies/glencore/	757200
Gogoro, Inc.		
Golden Mining		
Gotion High tech Co Ltd		
Guandong Fangyuan Environment Co. Ltd.		
Guangdong Jiana Energy Technology Co.,Ltd		
Guizhou CNGR Resource Recycling Industry Development Co., Ltd.	https://www.business-humanrights.org/en/companies/cngr-advanced-material/	934151
Hangzhou Tromox Technology Co Ltd		
Hanrui International (Singapore) Pte.Ltd.		
Hanrui Metal Congo		
Harima Refinery, Sumitomo Metal Mining		
Hauchin Internationel Trading Limited		
HELLA	https://www.business-humanrights.org/en/companies/hella-gmbh-co-kgaa/	903290
Honda Motor Co.	https://www.business-humanrights.org/en/companies/honda/	757429
Honda Motor Co. Ltd.	https://www.business-humanrights.org/en/companies/honda/	757429
Hongkong Excellen Mining Investment Co		
HORWIN Global		
Huachin Group		
Huachin Metal Leach (HML)		
Huachin Metal Leach sprl (HML)		
Huayou Cobalt	https://www.business-humanrights.org/en/companies/zhejiang-huayou-cobalt-co-ltd/	911167
Huineng Technology Co., Ltd. / ProLogium Technology / 輝能科技股份有限公司		
Huizhou Yiwei Lithium Energy Co		
Huizhou Yiwei Lithium Energy Co., Ltd. / EVE Energy Co., Ltd / 惠州亿纬锂能股份有限公司		
Hunan Changyuan Lico Co		
Hunan CNGR New Energy Science & Technology Co., Ltd.	https://www.business-humanrights.org/en/companies/cngr-advanced-material/	934151
Hunan Shanshan Energy Technology Ltd	https://www.business-humanrights.org/en/companies/hunan-shanshan-energy-technology-co/	913039
Hunan Yacheng New Materials Co.,Ltd.		
Hydro Volt AS		
Hyundai Motor Group	https://www.business-humanrights.org/en/companies/hyundai-motor-part-of-hyundai-kia-motor/	757560
IXM B.V		
Jiangsu Aoyang Shunchang Co. Ltd.		
Jiangsu Xinri Electric Vehicle Co., Ltd.		
Jiangsu Xiongfeng Science & Technology Co., LTD		
Jiangxi Copper	https://www.business-humanrights.org/en/companies/jiangxi-copper-company/	911104
Jinchuan Group Ltd	https://www.business-humanrights.org/en/companies/jinchuan-group/	760817
Jinchuan Technology	https://www.business-humanrights.org/en/companies/jinchuan-group/	760817
Jinlong Copper Industry		
JV Company		
Kamilombe		
Kamoto Copper Company (KCC)	https://www.business-humanrights.org/en/companies/kamoto-copper-company/	927073
Karajipopo		
Kawama shabara		
Kayebela		
Kisanfu mine (KFM)		
KTM AG		
L&F		
La Société de Luilu Ressources (LCS)		
LG Chem	https://www.business-humanrights.org/en/companies/lg-chem/	761127
LG Chemical (Nanjing) Information Electronic Materials Co., Ltd. / 乐金化学（南京）信息电子材料有限公	https://www.business-humanrights.org/en/companies/lg-chem/	761127
LG Energy Solution (LGES)	https://www.business-humanrights.org/en/companies/lg-chem/	761127
LG Energy Solution (LGES) (LGES)	#N/A	
L-H Battery Company, Inc.		
Li-Cycle Holdings Corp		
Lime / Neutron Holdings, Inc.	https://www.business-humanrights.org/en/companies/lime-neutron-holdings/	764344
Lohum Cleantech		
Lualaba Copper Smelter		
Mahindra Group	https://www.business-humanrights.org/en/companies/mahindra-mahindra/	758261
Managem	https://www.business-humanrights.org/en/companies/managem/	943404
Marubeni	https://www.business-humanrights.org/en/companies/marubeni/	758160
Metal Challenge Co.		
Metal Mines Sarl		
Milele		
Minière de Kasombo (MIKAS)	https://www.business-humanrights.org/en/companies/mini%C3%A8re-de-kasombo-mikas/	927047
Miringi		
Mitra Chem		
MMG	https://www.business-humanrights.org/en/companies/minerals-and-metals-group-mmg-part-of-china-minmetals/	760200
Mopani Copper Mines plc	https://www.business-humanrights.org/en/companies/mopani-copper-mines-plc/	894571
Motorino / Greenwit Technologies Inc.		
Murrin Murrin		
Mutanda Mining (MUMI)	https://www.business-humanrights.org/en/companies/mutanda-mining/	927049
Nanjing Hanrui Cobalt Industry (Hong Kong) Co., Ltd.		
Nemaska Lithium		
NETC (New Energy Technology Co. Ltd.)		
Nichia Corporation		
Ningbo Coboto		
Ningbo Ronbay New Energy		
Ningbo Shanshan Co Ltd		
Nissan Motor Co.	https://www.business-humanrights.org/en/companies/nissan/	758507
NIU Technologies		
Norilsk Nickel Harjavalta Oy	https://www.business-humanrights.org/en/companies/norilsk-nickel/	758565
Northvolt	https://www.business-humanrights.org/en/companies/northvolt/	765065
Okai		
OM metal		
Panasonic Corporation	https://www.business-humanrights.org/en/companies/panasonic/	758925
