name	lat	lon
Dem. Rep. Congo	-1.172918501	23.16689937
China	35.48670298	101.9018751
Germany	51.13348134	10.01834329
Morocco	32.35075131	-6.017072727
Australia	-25.73496849	134.4895626
Sweden	64.96487516	17.67540943
United States	39.38126613	-97.92221121
Hungary	47.06026675	19.49934901
Japan	36.38649282	138.5922295
Slovakia	48.70753087	19.49165109
Spain	41.29485563	-4.055685015
South Korea	36.53623647	128.1689443
France	47.82490462	2.618786953
Poland	52.12460991	19.30063631
Belgium	50.438696	4.633575
United Kingdom	54.23793336	-2.36966957
India	22.19916608	78.47668103
Finland	62.77775397	26.19953901
Indonesia	-2.352	116.348
Brazil	-9.588903017	-51.61978902
Russia	61.99457341	96.66970546
Canada	55.58590129	-105.7505959
Philippines	11.5363	122.7613
Cuba	21.9468717	-79.23667205
