node_id,name,bhrrc_id,bhrrc_link,company_type_tags,country_name,lat,location_precision,lon,role_tags
company::access-world,Access World,,,,Switzerland,47.1804801787744,exact,8.518586169823491,buyer
company::ace-green-recycling,ACE Green Recycling,,,,Singapore,1.300454951,exact,103.8576764,supplier
company::allcell-technologies-llc,AllCell Technologies LLC,,,Battery producer;Electric car producer,USA,41.81921293,exact,-87.68318087,buyer;supplier
company::alliance-nickel-ltd-gme-resources,Alliance Nickel Ltd. (GME Resources),,,,Australia,-31.97780293062293,exact,115.8093874612926,supplier
company::amperex-technology-limited-atl,Amperex Technology Limited (ATL),763897,https://www.business-humanrights.org/en/companies/contemporary-amperex-technology-catl/,Battery producer,Hong Kong,22.373,exact,114.1074,buyer
company::artisanal-producers,Artisanal producers,,,,Democratic Republic of the Congo,-11.597883475837904,exact,27.349457081826205,supplier
company::ascend-elements,Ascend Elements,764900,https://www.business-humanrights.org/en/companies/ascend/,Battery producer,USA,42.2753406,exact,-71.57140623,supplier
company::automotive-cells-company-acc,Automotive Cells Company (ACC),,,,France,48.86815195634901,exact,2.3464289820186175,buyer;supplier
company::b-m-science-and-technology-co,B&M Science and Technology co.,913036,https://www.business-humanrights.org/en/companies/tianjin-bm-science-technology/,Cathode producer,China,39.0738,exact,117.0842,buyer
company::baic-bjev,BAIC BJEV,,,,,,,,subsidiary
company::baic-bluepark-energy-technology-co,BAIC BluePark Energy Technology Co,,,,,,,,subsidiary
company::baic-group,BAIC Group,765767,https://www.business-humanrights.org/en/companies/baic-motor-corporation/,Battery producer;Electric car producer,China,39.6549187,exact,116.6654736,buyer;supplier
company::bak-power-battery,BAK Power Battery,,,Battery producer,China,22.6231372,exact,114.43455,buyer
company::basf,BASF,755901,https://www.business-humanrights.org/en/companies/basf/,Cathode producer,China,27.381365,exact,111.5260551,buyer;supplier
company::basf-shanshan,BASF Shanshan,,,,,,,,subsidiary
company::basf-toda-battery-materials-llc-btbm,BASF TODA Battery Materials LLC. (BTBM),,,,,,,,joint_venture
company::beam-global,Beam Global,,,,,,,,parent
company::beijing-benz-automotive-co-ltd,Beijing Benz Automotive Co. Ltd,,,,,,,,joint_venture
company::beijing-dangsheng-materials-technology-co-ltd,Beijing Dangsheng Materials Technology Co. Ltd.,,,,,,,,subsidiary
company::beijing-easpring-material-technology-co-ltd,"Beijing Easpring Material Technology Co., Ltd.",,,Precursor producer,China,39.81900741,exact,116.28581089,buyer
company::beijing-hainachuan-automotive-parts-co-ltd-bhap,"Beijing Hainachuan Automotive Parts Co., Ltd. (BHAP)",,,,China,39.876548,exact,116.46679,supplier
company::bird-global-inc,Bird Global Inc.,,,Electric car producer,USA,25.95017,exact,-80.193167,buyer
company::bird-rides-inc,"Bird Rides, Inc.",,,,,,,,subsidiary
company::bmw-brilliance-automotive-ltd,BMW Brilliance Automotive Ltd.,,,,,,,,joint_venture
company::bmw-group,BMW Group,755904,https://www.business-humanrights.org/en/companies/bmw/,Battery producer;Electric car producer,Germany,48.17698824046014,exact,11.560157959702845,buyer;supplier
company::bosch-ltd-bosch,Bosch Ltd. (BOSCH),756095,https://www.business-humanrights.org/en/companies/bosch/,Battery producer,Germany,48.78612105,exact,9.06340681,buyer;supplier
company::bridge-shipping,Bridge Shipping,,,,China,24.523944122016243,exact,118.1047607534157,buyer
company::bridon,Bridon,,,,Democratic Republic of the Congo,-10.691162649772282,exact,25.451694368070577,supplier
company::brunp-cycle-technology,Brunp Cycle Technology,,,,,,,,subsidiary
company::bs-battery,BS Battery,,,Battery producer,France,48.8619051,exact,2.22350966,supplier
company::byd-co-ltd,BYD Co. Ltd.,756034,https://www.business-humanrights.org/en/companies/byd/,Battery producer,China,22.6792536,exact,114.3588666,buyer;supplier
company::calb-tech,CALB Tech,,,Battery producer,China,31.687592562991952,exact,119.61262218242528,buyer
company::carriere-52,Carriere 52,,,,Democratic Republic of the Congo,-10.648348356683998,exact,25.44155346954925,supplier
company::catl-contemporary-amperex-technology-co,CATL (Contemporary Amperex Technology Co.),763897,https://www.business-humanrights.org/en/companies/contemporary-amperex-technology-catl/,Battery producer;Cathode producer,China,26.7332864,exact,119.5645726,buyer;supplier
company::cents-sacs,Cents Sacs,,,,Democratic Republic of the Congo,-10.6855426,exact,25.5313308,supplier
company::chalco-trading,Chalco Trading,,,,Hong Kong,22.28003447460711,exact,114.16403310916446,buyer
company::changan-ford-automobile-co-ltd,Changan Ford Automobile Co. Ltd.,,,,,,,,joint_venture
company::chaowei-power-group-co-ltd,Chaowei Power Group Co. Ltd.,,,Battery producer,China,30.9783286,exact,119.9070595,buyer;supplier
company::chemaf,Chemaf,756480,https://www.business-humanrights.org/en/companies/chemaf-part-of-shalina-group/,,Democratic Republic of the Congo,-11.634101153963103,exact,27.586012395421733,buyer;supplier
company::chengtun-copper-resources,Chengtun Copper Resources,,,,Democratic Republic of the Congo,-10.621930548847367,exact,25.47330655228977,buyer;supplier
company::chengtun-global-resources,Chengtun Global Resources,,,,Hong Kong,22.27862957370601,exact,114.17765016351262,buyer
company::chevrolet,Chevrolet,,,,,,,,subsidiary
company::china-electronics-technology-group-co-ltd,China Electronics Technology Group Co. Ltd.,,,Battery producer,China,39.0741601,exact,117.0722502,buyer
company::china-huayou-hong-kong,China Huayou Hong Kong,,,,,,,,subsidiary
company::china-minmetals,China Minmetals,756351,https://www.business-humanrights.org/en/companies/china-minmetals/,Precursor producer,China,28.2215,exact,112.9007,buyer;parent;supplier
company::china-molybdenum-co,China Molybdenum Co.,765799,https://www.business-humanrights.org/en/companies/china-molybdenum/,,China,33.78778779,exact,111.64033621,buyer;parent;supplier
company::china-national-overseas-engineering-group-co-ltd-covec,China National Overseas Engineering Group Co. Ltd. (COVEC),,,,,,,,subsidiary
company::china-nonferrous-mining-corporation-ltd,China Nonferrous Mining Corporation Ltd.,760582,https://www.business-humanrights.org/en/companies/china-nonferrous-metal-mining-cnmc/,,,,,,parent
company::china-nonferrous-mining-corporation-ltd-51,China Nonferrous Mining Corporation Ltd. (51%),,,,,,,,parent
company::china-railway-resources-group,China Railway Resources Group,764197,https://www.business-humanrights.org/en/companies/china-railway-group-crec-part-of-china-railway-engineering/,,China,39.91605836,exact,116.2763578,buyer;supplier
company::cmoc-limited,CMOC Limited,,,,China,33.88276604093883,exact,111.61502880250374,buyer
company::cngr-advanced-material-co-ltd,"CNGR Advanced Material Co., Ltd.",934151,https://www.business-humanrights.org/en/companies/cngr-advanced-material/,,China,27.33182908,exact,109.00798567,buyer;parent;supplier
company::cnmc-huachin-mabende-mining-sprl,CNMC Huachin Mabende Mining SPRL,,,,Democratic Republic of the Congo,-11.443356939814306,exact,27.365350480072657,supplier
company::compagnie-miniere-de-kambove-comika,Compagnie Minière de Kambove (COMIKA),,,,Democratic Republic of the Congo,-10.867660558760427,exact,26.563775719019002,supplier
company::compagnie-miniere-de-luisha-comilu,Compagnie Minière de Luisha (COMILU),,,,Democratic Republic of the Congo,-11.165914297411945,exact,27.019027795418186,supplier
company::congo-dongfang-mining-cdm,Congo Dongfang Mining (CDM),927036,https://www.business-humanrights.org/en/companies/congo-dongfang-international-mining-cdm/,Miner;Smelter,Democratic Republic of the Congo,-11.5855471,exact,27.4786431,buyer;supplier
company::congo-jinjun-cheng-cjc,Congo Jinjun Cheng (CJC),,,,Democratic Republic Of The Congo,-10.99735961337547,exact,26.75672417231705,buyer
company::coral-bay-nickel-corporation,Coral Bay Nickel Corporation,,,,Philippines,8.558385812772432,exact,117.42535576137354,supplier
company::coslight-technology-international-group-co-ltd,Coslight Technology International Group Co. Ltd.,,,Battery producer,China,45.6911747,exact,126.5070161,buyer
company::cosmo-chemical-co-ltd,Cosmo Chemical Co Ltd,,,Cathode producer,South Korea,35.4192,exact,129.3465,buyer
company::dangsheng-technology,Dangsheng Technology,,,Cathode producer,China,39.81900741,exact,116.28581089,buyer;supplier
company::deutsche-accumotive-gmbh-co-kg,Deutsche Accumotive GmbH & Co. KG,,,,,,,,subsidiary
company::dinamitiere,Dinamitiere,,,,Democratic Republic of the Congo,-10.747184453575294,exact,25.38027515289383,supplier
company::divine-land-mining-sarl-dlm,Divine Land Mining SARL (DLM),,,,Democratic Republic of the Congo,-11.004704917152141,exact,26.74992026496991,buyer
company::dongfeng-motor-corporation,Dongfeng Motor Corporation,756774,https://www.business-humanrights.org/en/companies/dongfeng-motor/,,China,30.50535598,exact,114.15953261,buyer
company::drain-uck,Drain UCK,,,,Democratic Republic of the Congo,-10.67690872167073,exact,25.45401179648052,supplier
company::ecopro-bm,ECOPRO BM,,,,,,,,subsidiary
company::ecopro-em,ECOPRO EM,,,,,,,,joint_venture
company::electra-battery-materials-corp,Electra Battery Materials Corp,,,Refiner,Canada,47.40851311,exact,-79.65961339,buyer;supplier
company::entreprise-generale-du-cobalt-egc,Entreprise Generale du Cobalt (EGC),,,,Democratic Republic of the Congo,-10.723110809505823,exact,25.485278762483812,supplier
company::envision-aesc,Envision AESC,764496,https://www.business-humanrights.org/en/companies/envision/,,France,50.35370520946489,exact,3.0265385264671956,buyer;supplier
company::essence-resources-limited,Essence Resources Limited,,,,UK,51.724733999944284,exact,-0.031635606172405295,buyer
company::eurasian-resources-group-s-a-r-l,Eurasian Resources Group S.A.R.L.,,,,,,,,parent
company::evelution-energy,EVelution Energy,,,,United States,32.71853599403322,exact,-114.6499548040451,buyer
company::evoke-electric-motorcycles-hk-ltd,Evoke Electric Motorcycles (HK) Ltd.,,,Electric car producer,China,39.78514809,exact,116.5110926,supplier
company::farasis-energy,Farasis Energy,,,Battery producer,China,25.8402513,exact,114.8478945,buyer;supplier
company::farasis-energy-ganzhou-co-ltd,"Farasis Energy (Ganzhou) Co., Ltd.",,,,,,,,subsidiary
company::ford-motor-company,Ford Motor Company,757030,https://www.business-humanrights.org/en/companies/ford/,Electric car producer,China,29.6807517,exact,106.5886871,buyer
company::fujian-scud-power-technology-co-ltd,"Fujian Scud Power Technology Co., Ltd. / 福建飞毛腿动力科技有限公司",,,Battery producer,China,26.00836640344795,exact,119.42637137201473,supplier
company::funeng-technology-ganzhou-co-ltd,Funeng Technology (Ganzhou) Co. Ltd.,,,,,,,,joint_venture
company::gac-toyota-motor-co-ltd-gtmc,GAC Toyota Motor Co. Ltd. (GTMC),,,,,,,,joint_venture
company::ganzhou-tengyuan-cobalt-industrial-co-ltd,Ganzhou Tengyuan Cobalt Industrial Co Ltd,,,Refiner,China,25.91215359,exact,115.06922686,buyer;joint_venture;supplier
company::gecamines,Gecamines,,,,,,,,parent;subsidiary
company::gecamines-30-and-wanbao-mining-co-ltd,"Gécamines (30%) and Wanbao Mining Co., Ltd.",,,,,,,,parent
company::gecamines-49,Gécamines (49%),,,,,,,,parent
company::geely-group,Geely group,764877,https://www.business-humanrights.org/en/companies/geely/,Battery producer;Electric car producer,China,30.3290199,exact,121.2571769,buyer;parent;supplier
company::gem-green-eco-manufacture-hi-tech,GEM (Green Eco-manufacture Hi-tech),763896,https://www.business-humanrights.org/en/companies/gem/,Cathode producer;Precursor producer;Refiner,China,32.1672565,exact,120.0802892,buyer;supplier
company::gem-wuxi-energy-materials-co-ltd,GEM (Wuxi) Energy Materials Co. Ltd.,,,,,,,,subsidiary
company::general-motors-co,General Motors Co.,757198,https://www.business-humanrights.org/en/companies/general-motors/,Electric car producer,United States,42.7156246,exact,-83.2609317,buyer;supplier
company::glencore,Glencore,757200,https://www.business-humanrights.org/en/companies/glencore/,Commodity trader,Switzerland,47.181319694497084,exact,8.527232666311876,buyer;parent;supplier
company::glencore-ag,Glencore AG,,,,,,,,subsidiary
company::glencore-international-ag,Glencore International AG,,,,,,,,subsidiary
company::glencore-plc,Glencore plc,,,,,,,,parent
company::gogoro-inc,"Gogoro, Inc.",,,Electric car producer,Taiwan,25.04630717,exact,121.3618927,buyer
company::gold-mountains-h-k-international-mining-co-ltd,"Gold Mountains (H.K.) International Mining Co., Ltd.",,,,Hong Kong,22.303645882954445,exact,114.16002126127455,buyer
company::golden-harbour,Golden Harbour,,,,China,39.91112376347696,exact,116.36020061626218,buyer
company::golden-mining,Golden Mining,,,,Democratic Republic Of The Congo,-11.703864611642874,exact,27.473591398799908,buyer
company::goma2,Goma2,,,,Democratic Republic of the Congo,-10.625469379242672,exact,25.800668485254477,supplier
company::gotion-high-tech-co-ltd,Gotion High tech Co Ltd,,,Battery producer,China,31.909302362058813,exact,117.36879987740124,buyer;supplier
company::grand-future,Grand Future,,,,Hong Kong,22.279415148462633,exact,114.16343232635883,buyer
company::grindrod-intermodal,Grindrod Intermodal,,,,South Africa,-29.861292763447047,exact,31.023401461284262,buyer
company::guangdong-fangyuan-new-materials-group-co-ltd,"Guangdong Fangyuan New Materials Group Co., Ltd.",,,,China,22.28110072,exact,113.09761933,buyer;parent;supplier
company::guangdong-foshan-sanshui-bangpu-recycling-technology-co-ltd,Guangdong & Foshan Sanshui Bangpu Recycling Technology Co. Ltd.,,,,,,,,subsidiary
company::guangdong-ruiqing-contemporary-amperex-technology-limited,Guangdong Ruiqing Contemporary Amperex Technology Limited,,,,,,,,subsidiary
company::guizhou-cngr-resource-recycling-industry-development-co-ltd,"Guizhou CNGR Resource Recycling Industry Development Co., Ltd.",934151,https://www.business-humanrights.org/en/companies/cngr-advanced-material/,,China,27.33182908,exact,109.00798567,supplier
company::hangzhou-nandu-narada-power-supply-co-ltd,"Hangzhou Nandu / Narada Power Supply Co., Ltd.",,,,,,,,subsidiary
company::hangzhou-tromox-technology-co-ltd,Hangzhou Tromox Technology Co Ltd,,,Electric car producer,China,30.27208655,exact,119.9619394,supplier
company::hanrui-cobalt,Hanrui Cobalt,,,,,,,,subsidiary
company::hanrui-international-singapore-pte-ltd,Hanrui International (Singapore) Pte.Ltd.,,,,Singapore,1.322258556158653,exact,103.8634478637708,buyer
company::hanrui-metal-congo,Hanrui Metal Congo,,,,Democratic Republic of the Congo,-10.646626332179055,exact,25.465890312328685,buyer;supplier
company::harbin-coslight-power-co-ltd,Harbin Coslight Power Co. Ltd.,,,,,,,,subsidiary
company::harima-refinery,Harima Refinery,,,,Japan,34.718117385230805,exact,134.84908893847876,buyer;supplier
company::hauchin-internationel-trading-limited,Hauchin Internationel Trading/Limited,,,,Hong Kong,22.28810734492507,exact,114.21186331257269,buyer
company::hebei-jiwu,Hebei Jiwu,,,,China,38.03781122395211,exact,114.48420275398092,buyer
company::hella,HELLA,903290,https://www.business-humanrights.org/en/companies/hella-gmbh-co-kgaa/,,China,31.18230908,exact,121.59889073,buyer
company::hk-penghe,HK Penghe,,,,Hong Kong,22.285541234614367,exact,114.15515342453538,buyer
company::honda-motor-china-investment-co-ltd,Honda Motor China Investment Co. Ltd.,,,Electric car producer,China,39.95249083537722,exact,116.46101801292001,buyer
company::honda-motor-co-ltd,Honda Motor Co. Ltd.,757429,https://www.business-humanrights.org/en/companies/honda/,Electric car producer,Japan,35.67238779274758,exact,139.72379411176493,buyer;joint_venture;parent
company::hongkong-excellen-mining-investment-co,Hongkong Excellen Mining Investment Co,,,,Hong Kong,22.28710831752307,exact,114.15176057092351,buyer
company::horwin-global,HORWIN Global,,,Electric car producer,China,31.80703436,exact,120.0111712,supplier
company::huachin-metal-leach-sprl,Huachin Metal Leach SPRL,,,,Democratic Republic of the Congo,-11.000451266614633,exact,26.708272675580716,buyer;supplier
company::huahai-new-energy,Huahai New Energy,,,,,,,,subsidiary
company::huajin-new-energy-material-co-ltd,Huajin New Energy Material Co.Ltd,,,,,,,,joint_venture
company::huaqing-nickel-cobalt,Huaqing Nickel Cobalt,,,,,,,,subsidiary
company::huayou-cobalt,Huayou Cobalt,911167,https://www.business-humanrights.org/en/companies/zhejiang-huayou-cobalt-co-ltd/,Cathode producer;Commodity trader;Precursor producer;Refiner;Smelter,China,30.6160952,exact,120.562971,buyer;parent;supplier
company::huayou-cobalt-new-material-co-ltd,"Huayou Cobalt New Material Co., Ltd.",,,,,,,,subsidiary
company::huayou-puye,Huayou Puye,,,,,,,,joint_venture
company::huizhou-yiwei-lithium-energy-co-ltd-eve-energy-co-ltd,"Huizhou Yiwei Lithium Energy Co., Ltd. / EVE Energy Co., Ltd / 惠州亿纬锂能股份有限公司",,,Battery producer,China,23.043559479651645,exact,114.34275448271744,buyer;supplier
company::hunan-brunp-recycling-technology,Hunan Brunp Recycling Technology,,,,,,,,subsidiary
company::hunan-changyuan-lico-co,Hunan Changyuan Lico Co,,,,China,28.21640599,exact,112.88909506,buyer
company::hunan-changyuan-lico-co-ltd,Hunan Changyuan Lico Co Ltd,,,,,,,,subsidiary
company::hunan-shanshan-energy-technology-ltd,Hunan Shanshan Energy Technology Ltd,913039,https://www.business-humanrights.org/en/companies/hunan-shanshan-energy-technology-co/,Cathode producer,China,28.2215,exact,112.9007,buyer
company::hunan-yacheng-new-materials-co-ltd,"Hunan Yacheng New Materials Co.,Ltd.",,,,China,28.31949658,exact,112.58602808,buyer
company::hydro-volt-as,Hydro Volt AS,,,Battery producer,Norway,59.91509907080439,exact,10.65096463827351,buyer
company::hyundai-mobis,Hyundai Mobis,,,,,,,,subsidiary
company::hyundai-motor-group,Hyundai Motor Group,757560,https://www.business-humanrights.org/en/companies/hyundai-motor-part-of-hyundai-kia-motor/,Electric car producer,South Korea,35.5357624,exact,129.3822086,buyer;supplier
company::impala-terminals,Impala Terminals,,,,,,,,subsidiary
company::ionway,Ionway,,,,,,,,joint_venture
company::ixm-sa,IXM SA,,,Commodity trader,South Africa,-26.11136287,exact,28.05368551,buyer;supplier
company::jiangmen-fangyuan-metal-material-technology-co-ltd,"Jiangmen Fangyuan Metal Material Technology Co., Ltd.",,,,China,22.452620545799984,exact,113.08801497589273,buyer;supplier
company::jiangmen-umicore-changxin-new-materials-juc,Jiangmen Umicore Changxin New Materials (JUC),,,,,,,,subsidiary
company::jiangsu-tenpower-lithium-co-ltd,"Jiangsu Tenpower Lithium Co., Ltd",,,Cathode producer,China,31.8225912,exact,120.5684743,buyer
company::jiangsu-xinri-electric-vehicle-co-ltd,"Jiangsu Xinri Electric Vehicle Co., Ltd.",,,Electric car producer,China,31.57915278,exact,120.4907629,buyer;supplier
company::jinchuan-group-international-resources,Jinchuan Group International Resources,,,,,,,,subsidiary
company::jinchuan-group-ltd,Jinchuan Group Ltd,760817,https://www.business-humanrights.org/en/companies/jinchuan-group/,Precursor producer,China,38.5075159,exact,102.205662,buyer;supplier
company::jinchuan-technology,Jinchuan Technology,760817,https://www.business-humanrights.org/en/companies/jinchuan-group/,,China,38.5048127,exact,102.18045599,buyer
company::jingmen-gelinmei-new-materials-co-ltd,Jingmen Gelinmei New Materials Co Ltd,,,,,,,,subsidiary
company::jv-company,JV Company,,,Battery producer;Electric car producer,China,30.3290199,exact,121.2571769,buyer;supplier
company::kai-peng-mining-sarl,Kai Peng Mining SARL,,,,Democratic Republic of the Congo,-10.964300751534802,exact,26.65943598110802,supplier
company::kambove-mining-sas,Kambove Mining SAS,,,,Democratic Republic of the Congo,-10.865596278960652,exact,26.61486215264135,supplier
company::kamilombe,Kamilombe,,,,Democratic Republic of the Congo,-10.7393158,exact,25.4077483,supplier
company::kamilombe2,Kamilombe2,,,,Democratic Republic of the Congo,-10.749680544257853,exact,25.378621131321474,supplier
company::kamoa-copper-s-a,Kamoa Copper S.A.,,,,Democratic Republic of the Congo,-10.886631446284182,exact,25.19748296657409,supplier
company::kamoto-copper-company,Kamoto Copper Company,,,,,,,,subsidiary
company::kamoto-copper-company-kcc,Kamoto Copper Company (KCC),927073,https://www.business-humanrights.org/en/companies/kamoto-copper-company/,Miner;Smelter,Democratic Republic of the Congo,-10.683129,exact,25.388308,buyer;supplier
