node_id,name,display_name,country_name,facility_type,lat,lon,place
facility::0063ede5988c,Mine,Mine,Democratic Republic of the Congo,,-10.666475750433753,25.479508435842813,"Mutshatsha, Lualaba, Democratic Republic of the Congo"
facility::00c33cc6ba80,Jiangmen,Cathode Plant,China,Cathode producer,22.5611128,113.1116191,Jianghai_-_Jiangmen_-_Guangdong_-_China
facility::026688e81f7e,Headquarter,Battery Cell Plant,China,Battery producer,41.8809,123.9572,"Fushun , Liaoning, China"
facility::029c05a77ae2,LGES Ohio,Battery cell plant,USA,Battery producer,39.65105542,-83.55182927,"Jeffersonville, Ohio, U.S.A."
facility::029d0f590054,Kwatebala,Mine,Democratic Republic of the Congo,Miner,-10.580847,26.183915,Bayeke_-_Lualaba_-_DRC
facility::03e826bdb572,Mine,Mine,Democratic Republic of the Congo,,-10.77765131,25.9188068,"18, Route Kafubu, Lubumbashi, Haut-Katanga"
facility::0432ed97ddbb,Kwatebala Sx/Ew,Smelter,Democratic Republic of the Congo,Smelter,-10.569381,26.1978433,Bayeke_-_Lualaba_-_DRC
facility::04b5f850668f,LGES Ontario Plant,Battery Pack Plant,Canada,,42.29264664315767,-82.90946877574265,"9655 Twin Oaks Dr, Windsor, ON N8N 5E8, Canada"
facility::04cf063208c4,Hunan,Precursor plant,China,Precursor producer,28.56372577,112.3345402,"Heshan District, Yiyang, Yiyang, Hunan, China"
facility::04fe76cbc6e7,Mashamba Est,Mine,Democratic Republic of the Congo,Miner,-10.7422261,25.3924083,Dilala_-_Kolwezi_-_Lualaba_-_DRC
facility::0603cd95361a,Headquarter,Headquarter,Hong Kong,Battery producer,22.373,114.1074,"Tsuen Wan, Hong Kong"
facility::06552c1da7b1,Headquarter,Headquarter,China,Miner,39.8858429014947,116.35221999640311,"56 Nanxianli Xicheng District Beijing, 100032 China"
facility::06b52dffe3cc,LG Chem Electronic Matl Co Charging,China Facility,China,Battery producer,32.15624903056504,118.88759817188067,"Hengyi Rd, Qixia District, Nanjing, Jiangsu, China"
facility::0a72127fe656,Minato-ku Headquarter,Headquarter,Japan,,35.663161946599736,139.75618369739237,"11-3, Shimbashi 5-chome Minato-ku, Tokyo 105-8716, Japan"
facility::0b0e35e4677e,Sicomines Sx/Ew,Smelter,Democratic Republic of the Congo,Smelter,-10.7211014,25.3673565,Kolwezi_-_Lualaba_-_DRC
facility::0c4094e30666,Headquarter,Headquarter,China,Electric car producer,40.0812969357836,116.363193546049,"3/F, Building 1, No. 195 Huilongguan East Street, Changping District, Beijing, China"
facility::0d001261e6ef,Headquarter,Headquarter,Germany,Electric car producer,50.13565664,8.571431493,"Mergenthalerallee 77, 65760 Eschborn, Germany"
facility::0e0b6d783d51,BMW Group Competence Centre e-drive production,Battery pack plant,Germany,Battery producer,48.6458413,12.458664,Dingolfing_-_Bavaria_-_Germany
facility::0f7bec1be9fb,Headquarter,Headquarter,Taiwan,,25.053936810116323,121.1270916380903,"328 No.1, Datong 1st Rd., Guanyin Dist., Taoyuan City 32849, Taiwan"
facility::1056b3abafb0,Headquarter,Headquarter,UAE,,25.331217846813196,55.48401072602927,"Z1-69, SAIF Suite Office, SAIF Zone Sharjah, U.A.E"
facility::11929f531125,Headquarter,Headquarter,China,,39.931893800036335,116.322,China
facility::1248527e4f77,Kyushu Plant,Electric Car Plant,Japan,Electric car producer,33.756775,130.6373098,Miyawaka_-_Fukuoka_-_Japan
facility::133a67a0b038,LG Chem Wroclaw,Battery cell plant,Poland,Battery producer,51.0176471,16.8881878,"Kobierzyce, Wroclaw, Poland"
facility::149afa7b0577,Headquarter,Headquarter,USA,Electric car producer,37.78834228,-122.3996909,"85, 2nd Street, San Francisco, California, USA"
facility::157b86e0935b,Kinsevere,Mine,Democratic Republic of the Congo,Miner,-11.3692,27.5666,"Route Kinsever, Lubumbashi, Congo, Kinshasa"
facility::15fd59875f27,Headquarter,Headquarter,South Korea,Battery producer,37.52797935,126.9292863,"LG Twin Towers,128, Yeoui-daero, Yeongdeungpo-gu, Seoul, South Korea"
facility::16747080defd,LGES Seoul Headquarter,Headquarter,South Korea,Battery producer,37.52675793172897,126.92713998639883,"Yeouido-dong, Yeongdeungpo District, Seoul, South Korea"
facility::169f406675ed,Mine,Mine,Democratic Republic of the Congo,,-10.9017236,26.1811976,"Kambove, Haut-Katanga, Democratic Republic of the Congo"
facility::17a1e17d045e,Kokkola,Refinery Precursor Plant,Finland,Precursor producer,63.861931,23.0511864,Kokkola_-_Central Ostrobothnia_-_Finland
facility::183f439af30a,Mahindra Reva Electric,Electric car plant,India,Battery producer,12.8097361,77.6615031,"Bommasandra, Bangalore, India"
facility::1869bdc099a7,Kokkola,Refinery Precursor Plant,Finland,,63.861931,23.0511864,Kokkola_-_Central Ostrobothnia_-_Finland
facility::18f10d13d86a,Headquarter,Headquarter,Hong Kong,,22.303645882954445,114.16002126127455,"West Kowloon, Hong Kong"
