company,stage,country,longitude,latitude,precision
Milele,source,Democratic Republic of the Congo,26.181198,-10.901724,exact_company
Minière de Kasombo (MIKAS),Artisanal processing,Democratic Republic of the Congo,26.623438,-10.889901,exact_stage
Minière de Kasombo (MIKAS),Smelting,Democratic Republic of the Congo,26.623438,-10.889901,exact_stage
Huayou Cobalt,Trading,Hong Kong,114.192,22.28669,exact_stage
Huayou Cobalt,Refining,China,120.5672,30.613538,exact_stage
Huayou Cobalt,Precursor manufacturing,China,112.33454,28.563726,exact_stage
BASF,Cathode manufacturing,China,111.526055,27.381365,exact_stage
Panasonic Holdings Corporation,Battery cell manufacturing,China,121.774683,39.166277,exact_stage
Panasonic Holdings Corporation,Battery pack manufacturing,Japan,135.567713,34.726771,exact_stage
NIU Technologies,Electric car/scooter manufacturing,China,116.363194,40.081297,exact_stage
Okai,Electric car/scooter manufacturing,China,120.091529,28.76028,exact_stage
Yadea Group Holdings Ltd.,Electric car/scooter manufacturing,China,120.492521,31.597311,exact_stage
Tesla Inc.,Battery pack manufacturing,China,121.769127,30.874575,exact_stage
Tesla Inc.,Electric car/scooter manufacturing,China,121.769127,30.874575,exact_stage
Toyota Motor Corporation,Battery pack manufacturing,Japan,130.63731,33.756775,exact_stage
Toyota Motor Corporation,Electric car/scooter manufacturing,USA,-84.529367,38.256677,exact_stage
CATL (Contemporary Amperex Technology Co.),Cathode manufacturing,China,112.661043,28.269472,exact_stage
CATL (Contemporary Amperex Technology Co.),Battery cell manufacturing,China,119.564573,26.733286,exact_stage
BAIC Group,Battery pack manufacturing,China,116.405404,39.856408,exact_stage
Mercedes-Benz,Electric car/scooter manufacturing,Germany,8.90354,53.057912,exact_stage
BMW Group,Battery pack manufacturing,United States,-82.182014,34.895468,exact_stage
BMW Group,Electric car/scooter manufacturing,Germany,11.560158,48.176988,exact_stage
Bosch Ltd. (BOSCH),Battery pack manufacturing,Germany,9.063407,48.786121,exact_stage
Peugeot Scooters,Electric car/scooter manufacturing,France,6.832127,47.443324,exact_stage
SUN Mobility,Battery pack manufacturing,India,77.706797,12.977167,exact_stage
Terra Motors Corporation,Electric car/scooter manufacturing,Japan,139.757389,35.666338,exact_stage
Geely group,Battery pack manufacturing,China,121.257177,30.32902,exact_stage
Geely group,Electric car/scooter manufacturing,China,121.257177,30.32902,exact_stage
Hyundai Motor Group,Battery pack manufacturing,South Korea,129.382209,35.535762,exact_stage
